host_searched,application used,destination_ip,bits_transfered
10.60.1.253,HTTPS (443 - TCP),17.174.1.5,8.99 Mb
10.60.1.253,HTTPS (443 - TCP),184.25.146.65,5.04 Mb
10.60.1.253,SSH (22 - TCP),34.238.13.139,1.66 Mb
10.60.1.253,HTTPS (443 - TCP),52.113.194.131,1.12 Mb
10.60.1.253,SIP (5060 - UDP),10.1.3.1,951.86 kb
10.60.1.17,queueadm (2230 - UDP),10.1.3.1,934.40 kb
10.60.1.140,Maximizer (Defined application),10.1.4.240,842.42 kb
10.60.1.140,HTTPS (443 - TCP),52.113.194.131,769.17 kb
10.60.1.253,HTTPS (443 - TCP),104.19.196.151,732.58 kb
10.60.1.253,HTTPS (443 - TCP),40.97.170.2,616.06 kb
10.60.1.253,HTTPS (443 - TCP),40.97.169.162,589.41 kb
10.60.1.253,HTTPS (443 - TCP),40.97.125.130,569.53 kb
10.60.1.140,SSDP (1900 - UDP),239.255.255.250,552.67 kb
10.60.1.17,SIP (5060 - UDP),10.1.3.1,548.41 kb
10.60.1.140,HTTPS (443 - TCP),40.97.24.2,484.92 kb
10.60.1.253,HTTPS (443 - TCP),35.169.217.52,481.62 kb
10.60.1.253,HTTPS (443 - TCP),54.197.144.213,437.78 kb
10.60.1.140,HTTPS (443 - TCP),104.16.250.5,372.10 kb
10.60.1.253,HTTPS (443 - TCP),40.97.170.178,354.94 kb
10.60.1.253,HTTPS (443 - TCP),52.114.128.57,340.66 kb
10.60.1.253,HTTPS (443 - TCP),100.24.166.30,324.46 kb
10.60.1.253,HTTPS (443 - TCP),40.97.229.82,307.50 kb
10.60.1.140,HTTPS (443 - TCP),13.249.185.98,306.94 kb
10.60.1.140,HTTPS (443 - TCP),104.88.45.37,306.10 kb
10.60.1.253,HTTPS (443 - TCP),52.114.133.17,278.34 kb
10.60.1.253,mdns (5353 - UDP),224.0.0.251,254.45 kb
10.60.1.253,HTTPS (443 - TCP),40.78.81.50,244.54 kb
10.60.1.140,HTTPS (443 - TCP),40.97.154.82,226.72 kb
10.60.1.253,HTTPS (443 - TCP),40.97.230.178,218.65 kb
10.60.1.140,HTTPS (443 - TCP),40.97.126.34,208.58 kb
10.60.1.253,HTTPS (443 - TCP),17.248.138.17,207.24 kb
10.60.1.140,HTTPS (443 - TCP),52.114.142.91,196.94 kb
10.60.1.253,HTTPS (443 - TCP),151.101.1.69,196.37 kb
10.60.1.253,HTTPS (443 - TCP),96.17.64.147,176.67 kb
10.60.1.140,HTTPS (443 - TCP),52.2.209.217,145.31 kb
10.60.1.140,HTTPS (443 - TCP),104.88.65.239,143.00 kb
10.60.1.253,domain (dns) (53 - UDP),10.1.5.1,136.62 kb
10.60.1.253,HTTPS (443 - TCP),40.78.85.198,134.22 kb
10.60.1.253,HTTPS (443 - TCP),40.78.82.218,130.65 kb
10.60.1.253,HTTPS (443 - TCP),40.78.80.82,123.26 kb
