host_searched,application used,destination_ip,bits_transfered
10.60.1.140,HTTPS (443 - TCP),52.113.194.131,41.37 Mb
10.60.1.253,HTTPS (443 - TCP),17.174.1.5,19.53 Mb
10.60.1.17,undefined (17392 UDP),10.1.3.1,14.85 Mb
10.60.1.253,HTTPS (443 - TCP),52.113.194.131,14.28 Mb
10.60.1.140,HTTPS (443 - TCP),40.97.28.114,11.07 Mb
10.60.1.140,Maximizer (Defined application),10.1.4.240,9.96 Mb
10.60.1.140,HTTPS (443 - TCP),40.97.171.114,8.63 Mb
10.60.1.253,HTTPS (443 - TCP),23.2.145.78,7.00 Mb
10.60.1.253,HTTPS (443 - TCP),169.55.111.99,5.22 Mb
10.60.1.17,njenet-ssl (2252 - UDP),10.1.3.1,4.50 Mb
10.60.1.253,HTTPS (443 - TCP),199.107.32.141,2.29 Mb
10.60.1.253,HTTPS (443 - TCP),23.102.191.170,2.19 Mb
10.60.1.253,HTTPS (443 - TCP),40.97.30.162,1.40 Mb
10.60.1.253,SIP (5060 - UDP),10.1.3.1,951.86 kb
10.60.1.140,HTTPS (443 - TCP),52.109.6.6,943.63 kb
10.60.1.253,HTTPS (443 - TCP),52.170.21.67,935.18 kb
10.60.1.253,HTTPS (443 - TCP),52.114.132.22,690.05 kb
10.60.1.253,HTTPS (443 - TCP),96.17.64.147,675.78 kb
10.60.1.140,HTTPS (443 - TCP),104.17.202.204,673.50 kb
10.60.1.253,HTTPS (443 - TCP),192.147.130.243,660.69 kb
10.60.1.140,HTTPS (443 - TCP),52.114.32.7,639.11 kb
10.60.1.140,HTTPS (443 - TCP),52.170.21.67,627.14 kb
10.60.1.253,HTTPS (443 - TCP),40.97.170.194,616.80 kb
10.60.1.253,HTTPS (443 - TCP),40.97.125.146,615.33 kb
10.60.1.17,SIP (5060 - UDP),10.1.3.1,605.87 kb
10.60.1.140,SSDP (1900 - UDP),239.255.255.250,581.76 kb
10.60.1.140,HTTPS (443 - TCP),52.114.128.57,577.46 kb
10.60.1.253,HTTPS (443 - TCP),35.169.217.52,532.87 kb
10.60.1.253,HTTPS (443 - TCP),40.97.124.34,532.72 kb
10.60.1.253,HTTPS (443 - TCP),52.114.128.57,496.09 kb
10.60.1.140,HTTPS (443 - TCP),104.17.187.167,493.22 kb
10.60.1.253,HTTPS (443 - TCP),198.154.234.167,485.93 kb
10.60.1.253,HTTPS (443 - TCP),40.97.28.114,482.05 kb
10.60.1.253,HTTPS (443 - TCP),184.25.146.65,373.41 kb
10.60.1.140,SIP (5060 - UDP),10.1.3.1,356.45 kb
10.60.1.140,microsoft-ds (445 - TCP),10.1.5.2,343.66 kb
10.60.1.140,HTTPS (443 - TCP),104.16.250.5,329.07 kb
10.60.1.253,HTTPS (443 - TCP),54.197.144.213,324.46 kb
10.60.1.140,HTTPS (443 - TCP),13.249.185.98,324.08 kb
10.60.1.253,HTTPS (443 - TCP),100.24.166.30,322.55 kb
10.60.1.140,kerberos (88 - TCP),10.1.5.1,316.66 kb
10.60.1.140,HTTPS (443 - TCP),104.107.33.242,304.50 kb
10.60.1.253,HTTPS (443 - TCP),52.114.133.17,303.41 kb
10.60.1.253,HTTPS (443 - TCP),13.249.191.203,298.96 kb
10.60.1.253,HTTPS (443 - TCP),172.217.12.202,290.46 kb
10.60.1.253,HTTPS (443 - TCP),72.21.81.200,271.82 kb
10.60.1.253,HTTPS (443 - TCP),66.96.146.30,262.35 kb
10.60.1.253,HTTPS (443 - TCP),40.78.83.29,261.30 kb
10.60.1.253,HTTPS (443 - TCP),13.107.18.11,253.91 kb
10.60.1.140,HTTPS (443 - TCP),52.114.133.29,252.80 kb
10.60.1.140,HTTPS (443 - TCP),13.107.18.11,239.37 kb
10.60.1.140,HTTPS (443 - TCP),52.114.132.23,233.90 kb
10.60.1.140,HTTPS (443 - TCP),52.114.128.44,233.90 kb
10.60.1.140,microsoft-ds (445 - TCP),10.1.5.1,219.36 kb
10.60.1.140,HTTPS (443 - TCP),40.79.67.176,216.90 kb
10.60.1.253,HTTPS (443 - TCP),157.55.211.160,216.71 kb
10.60.1.253,HTTPS (443 - TCP),17.248.138.115,210.86 kb
10.60.1.253,mdns (5353 - UDP),224.0.0.251,204.35 kb
10.60.1.253,domain (dns) (53 - UDP),10.1.5.1,200.73 kb
10.60.1.253,HTTPS (443 - TCP),104.45.136.42,196.62 kb
10.60.1.140,HTTPS (443 - TCP),52.114.132.22,196.56 kb
10.60.1.140,HTTPS (443 - TCP),52.114.132.83,187.34 kb
10.60.1.253,HTTPS (443 - TCP),52.21.22.191,185.81 kb
10.60.1.253,HTTPS (443 - TCP),192.124.249.119,168.67 kb
10.60.1.140,undefined (6008 TCP),10.1.5.1,157.90 kb
10.60.1.140,HTTPS (443 - TCP),20.36.218.63,156.38 kb
10.60.1.140,HTTPS (443 - TCP),104.107.20.147,150.56 kb
10.60.1.140,HTTPS (443 - TCP),52.71.149.50,145.31 kb
10.60.1.140,HTTPS (443 - UDP),172.217.11.46,144.65 kb
10.60.1.140,HTTPS (443 - TCP),40.126.7.66,143.12 kb
10.60.1.253,HTTPS (443 - TCP),17.249.171.246,142.82 kb
10.60.1.253,HTTPS (443 - TCP),172.217.9.234,132.27 kb
10.60.1.253,HTTPS (443 - TCP),104.42.124.187,130.65 kb
10.60.1.140,domain (dns) (53 - UDP),10.1.5.1,129.73 kb
10.60.1.253,HTTPS (443 - TCP),40.78.80.184,123.26 kb
10.60.1.253,HTTPS (443 - TCP),34.226.118.137,122.50 kb
10.60.1.140,HTTPS (443 - TCP),52.114.32.8,122.18 kb
10.60.1.253,HTTP (80 - TCP),72.52.161.233,117.94 kb
10.60.1.253,HTTPS (443 - TCP),40.78.80.234,117.46 kb
10.60.1.253,HTTPS (443 - TCP),52.4.143.199,116.85 kb
10.60.1.253,HTTPS (443 - TCP),184.72.104.138,115.39 kb
10.60.1.140,HTTPS (443 - TCP),40.79.66.209,111.66 kb
10.60.1.253,HTTPS (443 - TCP),157.55.252.191,110.48 kb
10.60.1.253,HTTPS (443 - TCP),13.249.188.37,108.34 kb
10.60.1.140,HTTPS (443 - TCP),40.97.231.242,102.38 kb
10.60.1.140,HTTPS (443 - TCP),96.17.65.84,100.27 kb
10.60.1.140,HTTPS (443 - UDP),172.217.10.99,84.06 kb
10.60.1.253,microsoft-ds (445 - TCP),10.1.5.2,82.18 kb
10.60.1.253,HTTPS (443 - TCP),52.114.142.17,66.10 kb
10.60.1.140,HTTPS (443 - TCP),52.109.124.19,65.93 kb
10.60.1.140,HTTPS (443 - TCP),52.109.88.37,64.88 kb
10.60.1.140,HTTPS (443 - TCP),52.114.142.17,61.70 kb
10.60.1.140,HTTPS (443 - TCP),40.126.7.65,60.90 kb
10.60.1.140,HTTPS (443 - TCP),108.174.10.10,57.57 kb
10.60.1.140,GoToMeeting (Defined application),68.64.23.244,49.52 kb
10.60.1.140,GoToMeeting (Defined application),202.173.28.250,49.52 kb
10.60.1.253,HTTPS (443 - TCP),52.1.18.225,47.04 kb
10.60.1.253,HTTPS (443 - TCP),40.97.126.50,46.81 kb
10.60.1.140,HTTPS (443 - TCP),52.230.222.68,46.08 kb
10.60.1.140,HTTPS (443 - TCP),40.97.29.226,35.64 kb
10.60.1.253,HTTP (80 - TCP),45.33.24.119,35.51 kb
10.60.1.253,HTTPS (443 - TCP),192.147.130.245,35.33 kb
10.60.1.253,HTTP (80 - TCP),199.107.32.141,32.59 kb
10.60.1.140,irdmi (8000 - UDP),10.1.3.1,31.14 kb
10.60.1.140,epmap (135 - TCP),10.1.5.1,29.60 kb
10.60.1.253,HTTPS (443 - TCP),104.107.38.137,29.53 kb
10.60.1.140,HTTP (80 - TCP),23.33.102.52,29.24 kb
10.60.1.253,HTTPS (443 - TCP),52.206.21.142,24.38 kb
10.60.1.253,HTTPS (443 - TCP),34.198.1.78,24.37 kb
10.60.1.253,HTTPS (443 - TCP),34.196.73.2,23.62 kb
10.60.1.140,HTTPS (443 - TCP),104.16.249.5,20.02 kb
10.60.1.140,undefined (7680 TCP),10.60.1.31,19.52 kb
10.60.1.140,undefined (7680 TCP),10.60.1.242,19.52 kb
10.60.1.140,HTTPS (443 - TCP),209.85.232.188,19.43 kb
10.60.1.140,HTTPS (443 - TCP),40.97.152.82,18.45 kb
10.60.1.140,HTTPS (443 - TCP),13.249.188.121,16.66 kb
10.60.1.253,HTTPS (443 - TCP),142.93.74.54,14.46 kb
10.60.1.140,LDAP (389 - UDP),10.1.5.1,11.52 kb
10.60.1.17,dtv-chan-req (2253 - UDP),10.1.3.1,8.96 kb
10.60.1.140,domain (dns) (53 - UDP),10.1.5.2,6.10 kb
10.60.1.253,HTTPS (443 - TCP),185.117.83.34,5.98 kb
10.60.1.140,undefined (7680 TCP),10.60.1.197,4.98 kb
10.60.1.253,HTTPS (443 - TCP),52.200.172.200,4.66 kb
10.60.1.253,NTP (123 - UDP),162.159.200.123,4.26 kb
10.60.1.253,NTP (123 - UDP),162.159.200.1,4.26 kb
